Absolmsia spartioides
Arcytophyllum rivetii
Arcytophyllum serpyllaceum
Arcytophyllum setosum
Arcytophyllum thymifolium
Arcytophyllum vernicosum
Argocoffeopsis eketensis
Argocoffeopsis rupestris
Argocoffeopsis scandens
Argostemma africanum
Argostemma bifolium
Argostemma brachyantherum
Argostemma elatostemma
Argostemma geesinkii
Argostemma gracile
Argostemma hookeri
Argostemma parvifolium
Argostemma psychotrichoides
Argostemma pumilum
Argostemma rupestre
Argostemma victorianum
Argostemma yappii
Ariadne shaferi
Aripuana cullmaniorum
Artia balansae
Asclepias albens
Asclepias albicans
Asclepias amplexicaulis
Asclepias angustifolia
Asclepias arenaria
Asclepias asperula
Asclepias atroviolacea
Asclepias aurea
Asclepias auriculata
Asclepias barjoniifolia
Asclepias boliviensis
Asclepias brachystephana
Asclepias brevipes
Asclepias californica
Asclepias candida
Asclepias cinerea
Asclepias circinalis
Asclepias connivens
Asclepias cordifolia
Asclepias coulteri
Asclepias cryptoceras
Asclepias cucullata
Asclepias curassavica
Asclepias curtissii
Asclepias cutleri
Asclepias densiflora
Asclepias elata
Asclepias elegantula
Asclepias emoryi
Asclepias engelmanniana
Asclepias eriocarpa
Asclepias erosa
Asclepias exaltata
Asclepias fascicularis
Asclepias feayi
Asclepias flava
Asclepias fournieri
Asclepias gentryi
Asclepias gibba
Asclepias glaucescens
Asclepias hallii
Asclepias hirtella
Asclepias humistrata
Asclepias hypoleuca
Asclepias inaequalis
Asclepias incarnata
Asclepias involucrata
Asclepias jaliscana
Asclepias jorgeana
Asclepias labriformis
Asclepias lanceolata
Asclepias latifolia
Asclepias lemmonii
Asclepias leptopus
Asclepias linaria
Asclepias linearis
Asclepias longifolia
Asclepias lynchiana
Asclepias macropus
Asclepias macrosperma
Asclepias macrotis
Asclepias macroura
Asclepias masonii
Asclepias mcvaughii
Asclepias meadii
Asclepias melantha
Asclepias mellodora
Asclepias mexicana
Asclepias michauxii
Asclepias mirifica
Asclepias multicaulis
Asclepias nivea
Asclepias notha
Asclepias nummularia
Asclepias nyctaginifolia
Asclepias obovata
Asclepias oenotheroides
Asclepias otarioides
Asclepias ovalifolia
Asclepias ovata
Asclepias pedicellata
Asclepias pellucida
Asclepias perennis
Asclepias phenax
Asclepias praemorsa
Asclepias pratensis
Asclepias pringlei
Asclepias prostrata
Asclepias puberula
Asclepias pumila
Asclepias purpurascens
Asclepias quadrifolia
Asclepias quinquedentata
Asclepias randii
Asclepias rosea
Asclepias rubra
Asclepias ruthiae
Asclepias sanjuanensis
Asclepias scaposa
Asclepias schaffneri
Asclepias scheryi
Asclepias similis
Asclepias solanoana
Asclepias speciosa
Asclepias standleyi
Asclepias stellifera
Asclepias stenophylla
Asclepias subaphylla
Asclepias subulata
Asclepias subverticillata
Asclepias sullivantii
Asclepias syriaca
Asclepias texana
Asclepias tomentosa
Asclepias tuberosa
Asclepias uncialis
Asclepias variegata
Asclepias verticillata
Asclepias vestita
Asclepias vinosa
Asclepias viridiflora
Asclepias viridis
Asclepias viridula
Asclepias virletii
Asclepias welshii
Asclepias woodii
Asclepias woodsoniana
Asclepias zanthodacryon
Asemnantha pubescens
Asperula albovii
Asperula arcadiensis
Asperula aristata
Asperula arvensis
Asperula chlorantha
Asperula cynanchica
Asperula glomerata
Asperula gussonei
Asperula hirta
Asperula laevigata
Asperula molluginoides
Asperula orientalis
Asperula purpurea
Asperula setosa
Asperula taurina
Asperula tinctoria
Aspidoglossum connatum
Aspidoglossum delagoense
Aspidoglossum heterophyllum
Aspidoglossum ovalifolium
Aspidonepsis diploglossa
Aspidonepsis flava
Aspidosperma album
Aspidosperma australe
Aspidosperma cruentum
Aspidosperma cylindrocarpon
Aspidosperma desmanthum
Aspidosperma marcgravianum
Aspidosperma megalocarpon
Aspidosperma myristicifolium
Aspidosperma oblongum
Aspidosperma polyneuron
Aspidosperma pyrifolium
Aspidosperma quebracho-blanco
Aspidosperma spruceanum
Aspidosperma triternatum
Astephanus marginatus
Astephanus neglectus
Astephanus triflorus
Astiella delicatula
Atherandra acuminata
Atractocarpus balansaeanus
Atractocarpus chartaceus
Atractocarpus hirtus
Atractocarpus merikin
Atractocarpus stipularis
Atractogyne gabonii
Augusta austrocaledonica
Augusta longifolia
Augusta rivalis
Aulacocalyx caudata
Aulacocalyx jasminiflora
Aulacocalyx talbotii
Australluma peschii
Badusa corymbifera
Badusa palauensis
Baissea leonensis
Baissea multiflora
Baissea zygodioides
Balmea stormae
Barjonia chlorifolia
Barjonia cymosa
Barjonia erecta
Barjonia glazioui
Barjonia harleyi
Barjonia laxa
Baroniella camptocarpoides
Bartonia paniculata
Bartonia verna
Bartonia virginica
Baseonema gregorii
Batesanthus purpureus
Bathysa australis
Bathysa bracteosa
Bathysa cuspidata
Bathysa gymnocarpa
Bathysa obovata
Bathysa peruviana
Bathysa stipulata
Bathysa veraguensis
Batopedina pulvinellata
Baynesia lophophora
Beaumontia grandiflora
Bellizinca scoti
Belonophora coriacea
Belonophora talbotii
Belonophora wernhamii
Benkara malabarica
Bertiera aethiopica
Bertiera bicarpellata
Bertiera bracteosa
Bertiera breviflora
Bertiera dewevrei
Bertiera guianensis
Bertiera laxa
Bertiera laxissima
Bertiera longithyrsa
Bertiera racemosa
Bikkia palauensis
Bikkia pancherii
Bikkia tetrandra
Biondia henryi
Biondia insignis
Bisgoeppertia gracilis
Bisgoeppertia scandens
Blackstonia acuminata
Blackstonia grandiflora
Blackstonia imperfoliata
Blackstonia perfoliata
Blepharidium guatemalense
Blepharodon ampliflorum
Blepharodon bicuspidatum
Blepharodon costae
Blepharodon glaucescens
Blepharodon grandiflorum
Blepharodon harlingii
Blepharodon lineare
Blepharodon manicatum
Blepharodon mucronatum
Blepharodon pictum
Blyttia fruticulosa
Bobea elatior
Bobea gaudichaudii
Bobea mannii
Bobea myrtoides
Bobea sandwicensis
Boholia nematostylis
Bonyunia aquatica
Bonyunia minor
Bonyunia superba
Borojoa panamensis
Borojoa patinoi
Borreria assurgens
Borreria hispida
Bothriospora corymbosa
Botryarrhena pendula
Boucerosia frerei
Boucerosia lasiantha
Boucerosia nilagiriana
Boucerosia pauciflora
Boucerosia procumbens
Boucerosia truncatocoronata
Boucerosia umbellata
Bousigonia angustifolia
Bouvardia ternifolia
Brachystelma burchellii
Brachystelma christianeae
Brachystelma edule
Brachystelma ellipticum
Brachystelma filifolium
Brachystelma franksiae
Brachystelma luteum
Brachystelma macropetalum
Brachystelma malwanense
Brachystelma nanum
Brachystelma naorojii
Brachystelma pygmaeum
Brachystelma rubellum
Brachystelma schizoglossoides
Bremeria erectiloba
Bremeria landia
Bremeria latisepala
Bremeria pervillei
Bremeria vestita
Breonadia salicina
Breonia boivinii
Breonia capuronii
Breonia chinensis
Breonia decaryana
Breonia fragifera
Breonia havilandiana
Breonia louvelii
Breonia macrocarpa
Breonia perrieri
Breonia sambiranensis
Breonia sphaerantha
Breonia tayloriana
Buckollia volubilis
Bullockia fadenii
Bullockia mombazensis
Bullockia pseudosetiflora
Bullockia setiflora
Burchellia bubalina
Burchellia capensis
Burttdavya nyasica
Cabucala polysperma
Calciphila galgalensis
Calciphila gillettii
Callichilia barteri
Callichilia bequaertii
Callichilia inaequalis
Callichilia orientalis
Callichilia subsessilis
Callipeltis cucullaris
Calochone redingii
Calocrater preussii
Calolisianthus pendulus
Calolisianthus pulcherrimus
Calolisianthus speciosus
Calotropis gigantea
Calotropis procera
Calycophyllum candidissimum
Calycophyllum multiflorum
Calycophyllum spruceanum
Calycosia lageniformis
Calycosia macrocyatha
Calycosiphonia macrochlamys
Calycosiphonia spathicalyx
Cameraria latifolia
Camptocarpus mauritianus
Canscora alata
Canscora andrographioides
Canscora diffusa
Canscora pentanthera
Canthium armatum
Canthium bugoyense
Canthium carinatum
Canthium ciliatum
Canthium confertum
Canthium coromandelicum
Canthium glaucum
Canthium horridum
Canthium inerme
Canthium kuntzeanum
Canthium medium
Canthium mrimaense
Canthium oligocarpum
Canthium spinosum
Canthium stenosepalum
Canthium suberosum
Canthium tetraphyllum
Canthium vanwykii
Canthium venulosum
Capirona decorticans
Caralluma acutangula
Caralluma adenensis
Caralluma adscendens
Caralluma arabica
Caralluma arachnoidea
Caralluma awdeliana
Caralluma bhupinderana
Caralluma cicatricosa
Caralluma crenulata
Caralluma dicapuae
Caralluma diffusa
Caralluma edithae
Caralluma europaea
Caralluma faucicola
Caralluma flava
Caralluma flavovirens
Caralluma furta
Caralluma hexagona
Caralluma indica
Caralluma joannis
Caralluma lavranii
Caralluma munbyana
Caralluma pauciflora
Caralluma peckii
Caralluma penicillata
Caralluma priogonium
Caralluma quadrangula
Caralluma sarkariae
Caralluma sinaica
Caralluma socotrana
Caralluma solenophora
Caralluma speciosa
Caralluma staintonii
Caralluma stalagmifera
Caralluma subulata
Caralluma tuberculata
Caralluma turneri
Carapichea ipecacuanha
Carapichea lucida
Carissa bispinosa
Carissa carandas
Carissa edulis
Carissa haematocarpa
Carissa macrocarpa
Carissa ovata
Carissa praetermissa
Carissa spinarum
Carissa tetramera
Carpacoce spermacocea
Carphalea angulata
Carphalea cloiselii
Carphalea kirondron
Carphalea madagascariensis
Carphalea obovata
Carphalea pervilleana
Carphalea pubescens
Carvalhoa campanulata
Casasia calophylla
Casasia clusiifolia
Casasia jacquinioides
Catesbaea fuertesii
Catesbaea glabra
Catesbaea holacantha
Catesbaea parviflora
Catesbaea parvifolia
Catesbaea spinosa
Catharanthus longifolius
Catharanthus ovalis
Catharanthus roseus
Catharanthus trichophyllus
Catunaregam nilotica
Catunaregam obovata
Catunaregam spinosa
Catunaregam swynnertonii
Caudanthera edulis
Centaurium barrelieri
Centaurium bianoris
Centaurium cachanlahuen
Centaurium capense
Centaurium capitatum
Centaurium centaurioides
Centaurium chloodes
Centaurium erythraea
Centaurium favargeri
Centaurium floribundum
Centaurium gypsicola
Centaurium littorale
Centaurium mairei
Centaurium majus
Centaurium malzacianum
Centaurium maritimum
Centaurium portense
Centaurium pulchellum
Centaurium scilloides
Centaurium serpentinicola
Centaurium somedanum
Centaurium suffruticosum
Centaurium tenuiflorum
Centaurium turcicum
Centaurium uliginosum
Cephalanthus glabratus
Cephalanthus natalensis
Cephalanthus occidentalis
Cephalanthus salicifolius
Cephalanthus tetrandrus
Ceratopyxis verbenacea
Cerbera floribunda
Cerbera manghas
Cerbera odollam
Cerbera venenifera
Cerberiopsis candelabra
Ceriscoides sessiliflora
Ceropegia abyssinica
Ceropegia albisepta
Ceropegia ambovombensis
Ceropegia anantii
Ceropegia anjanerica
Ceropegia arabica
Ceropegia aristolochioides
Ceropegia attenuata
Ceropegia ballyana
Ceropegia bulbosa
Ceropegia cimiciodora
Ceropegia crassifolia
Ceropegia cufodontii
Ceropegia cumingiana
Ceropegia denticulata
Ceropegia dichotoma
Ceropegia distincta
Ceropegia elegans
Ceropegia evansii
Ceropegia fantastica
Ceropegia filiformis
Ceropegia foliosa
Ceropegia gilgiana
Ceropegia hirsuta
Ceropegia huberi
Ceropegia humbertii
Ceropegia intermedia
Ceropegia jainii
Ceropegia juncea
Ceropegia konasita
Ceropegia lawii
Ceropegia linearis
Ceropegia longifolia
Ceropegia maccannii
Ceropegia mahabalei
Ceropegia media
Ceropegia meleagris
Ceropegia meyeri-johannis
Ceropegia mohanramii
Ceropegia monticola
Ceropegia nilotica
Ceropegia noorjahaniae
Ceropegia occidentalis
Ceropegia oculata
Ceropegia odorata
Ceropegia panchganiensis
Ceropegia pubescens
Ceropegia racemosa
Ceropegia radicans
Ceropegia robynsiana
Ceropegia rollae
Ceropegia rupicola
Ceropegia sahyadrica
Ceropegia sandersonii
Ceropegia sankuruensis
Ceropegia santapaui
Ceropegia saxatilis
Ceropegia simoneae
Ceropegia spiralis
Ceropegia striata
Ceropegia variegata
Ceropegia vincifolia
Ceropegia woodii
Ceropegia yemenensis
Chalepophyllum guyanense
Chamaepentas hindsioides
Chamaepentas longituba
Chamaepentas nobilis
Chamaepentas pseudomagnifica
Chapeliera madagascariensis
Chassalia catati
Chassalia chartacea
Chassalia macrodiscus
Chassalia parviflora
Chassalia subcordatifolia
Chassalia subochreata
Chazaliella abrupta
Chazaliella macrocarpa
Chazaliella parviflora
Chazaliella sciadephora
Chelonanthus alatus
Chelonanthus albus
Chelonanthus angustifolius
Chelonanthus grandiflorus
Chelonanthus purpurascens
Chelonanthus viridiflorus
Chilocarpus costatus
Chilocarpus rostratus
Chilocarpus suaveolens
Chimarrhis cymosa
Chimarrhis glabriflora
Chimarrhis hookeri
Chimarrhis microcarpa
Chimarrhis parviflora
Chimarrhis turbinata
Chiococca alba
Chiococca filipes
Chiococca pachyphylla
Chiococca parviflora
Chiococca pubescens
Chione sylvicola
Chione venosa
Chironia baccifera
Chironia laxa
Chironia linoides
Chironia palustris
Chironia purpurascens
Chironia tetragona
Chlorochorion foetidum
Chlorochorion monticola
Chomelia angustifolia
Chomelia brasiliana
Chomelia spinosa
Chomelia tenuiflora
Chonemorpha fragrans
Chorisepalum ovatum
Chorisepalum psychotrioides
Choulettia reboudiana
Cibirhiza albersiana
Cibirhiza dhofarensis
Cibirhiza spiculata
Cicendia filiformis
Cicendia quadrangularis
Ciliosemina pedunculata
Cinchona calisaya
Cinchona macrocalyx
Cinchona mutisii
Cinchona officinalis
Cinchona pitayensis
Cinchona pubescens
Cinchonopsis amazonica
Cionura erecta
Cladoceras subcapitatum
Cleghornia malaccensis
Clemensiella mariae
Coccocypselum condalia
Coccocypselum guianense
Coccocypselum herbaceum
Coccocypselum hirsutum
Coccocypselum lanceolatum
Coddia rudis
Coelospermum balansanum
Coelospermum crassifolium
Coelospermum dasylobum
Coelospermum fragrans
Coelospermum monticola
Coelospermum paniculatum
Coelospermum salomoniense
Coffea abbayesii
Coffea abeokutae
Coffea alleizettei
Coffea ambongensis
Coffea andrambovatensis
Coffea ankaranensis
Coffea anthonyi
Coffea arabica
Coffea arenesiana
Coffea augagneuri
Coffea bakossii
Coffea bertrandii
Coffea betamponensis
Coffea boinensis
Coffea boiviniana
Coffea bonnieri
Coffea brevipes
Coffea bridsoniae
Coffea buxifolia
Coffea campaniensis
Coffea canephora
Coffea charrieriana
Coffea commersoniana
Coffea congensis
Coffea costatifructa
Coffea coursiana
Coffea decaryana
Coffea dolichophylla
Coffea dubardii
Coffea eugenioides
Coffea fadenii
Coffea farafanganensis
Coffea gallienii
Coffea grevei
Coffea heimii
Coffea heterocalyx
Coffea homollei
Coffea humbertii
Coffea humblotiana
Coffea humilis
Coffea hybrid
Coffea jumellei
Coffea kapakata
Coffea khasiana
Coffea kianjavatensis
Coffea kihansiensis
Coffea kimbozensis
Coffea kivuensis
Coffea lancifolia
Coffea leroyi
Coffea liaudii
Coffea liberica
Coffea ligustroides
Coffea littoralis
Coffea lulandoensis
Coffea macrocarpa
Coffea magnistipula
Coffea mangoroensis
Coffea mannii
Coffea manombensis
Coffea mauritiana
Coffea mayombensis
Coffea mcphersonii
Coffea millotii
Coffea mogeneti
Coffea mongensis
Coffea montekupensis
Coffea montis-sacri
Coffea moratii
Coffea mufindiensis
Coffea myrtifolia
Coffea namorokensis
Coffea perrieri
Coffea pervilleana
Coffea pocsii
Coffea pseudozanguebariae
Coffea pterocarpa
Coffea racemosa
Coffea rakotonasoloi
Coffea ratsimamangae
Coffea resinosa
Coffea rhamnifolia
Coffea richardii
Coffea sahafaryensis
Coffea sakarahae
Coffea salvatrix
Coffea sambavensis
Coffea schliebenii
Coffea sessiliflora
Coffea spp.
Coffea stenophylla
Coffea tetragona
Coffea togoensis
Coffea tricalysioides
Coffea tsirananae
Coffea vatovavyensis
Coffea vianneyi
Coffea zanguebariae
Colleteria seminervis
Colletoecema dewevrei
Colletoecema magna
Comastoma cyananthiflorum
Comastoma falcatum
Comastoma jigzhiense
Comastoma malyschevii
Comastoma pedunculatum
Comastoma polycladum
Comastoma pulmonarium
Comastoma stellariifolium
Comastoma tenellum
Comastoma traillianum
Commitheca liebrechtsiana
Condaminea corymbosa
Condylocarpon amazonicum
Condylocarpon guyanense
Condylocarpon isthmicum
Conomitra linearis
Conostomium longitubum
Conostomium natalense
Conostomium quadrangulare
Conostomium zoutpansbergense
Coprosma acerosa
Coprosma acutifolia
Coprosma antipoda
Coprosma arborea
Coprosma areolata
Coprosma atropurpurea
Coprosma banksii
Coprosma barbata
Coprosma baueri
Coprosma brunnea
Coprosma chathamica
Coprosma cheesemanii
Coprosma ciliata
Coprosma colensoi
Coprosma cookei
Coprosma crassicaulis
Coprosma crassifolia
Coprosma crenulata
Coprosma cuneata
Coprosma cymosa
Coprosma decurva
Coprosma discolor
Coprosma divergens
Coprosma dodonaeifolia
Coprosma dumosa
Coprosma elatirioides
Coprosma elliptica
Coprosma ernodeoides
Coprosma esulcata
Coprosma fatuhivaensis
Coprosma fauriei
Coprosma foetidissima
Coprosma foliosa
Coprosma fowerakeri
Coprosma grandifolia
Coprosma hirtella
Coprosma huttoniana
Coprosma inopinata
Coprosma intertexta
Coprosma kauensis
Coprosma lanceolaris
Coprosma linariifolia
Coprosma longifolia
Coprosma lucida
Coprosma macrocarpa
Coprosma menziesii
Coprosma meyeri
Coprosma microcarpa
Coprosma montana
Coprosma moorei
Coprosma nadeandii
Coprosma neglecta
Coprosma niphophila
Coprosma nitida
Coprosma nivalis
Coprosma obconica
Coprosma ochracea
Coprosma orohenensis
Coprosma parviflora
Coprosma pedicellata
Coprosma perpusilla
Coprosma persicifolia
Coprosma petiolata
Coprosma petriei
Coprosma pilosa
Coprosma prisca
Coprosma propinqua
Coprosma pseudociliata
Coprosma pseudocuneata
Coprosma pubens
Coprosma pumila
Coprosma putida
Coprosma pyrifolia
Coprosma quadrifida
Coprosma rapensis
Coprosma repens
Coprosma rhamnoides
Coprosma rhynchocarpa
Coprosma rigida
Coprosma robusta
Coprosma rotundifolia
Coprosma rubra
Coprosma rugosa
Coprosma serrulata
Coprosma spathulata
Coprosma strigulosa
Coprosma tayloriae
Coprosma temetiuensis
Coprosma tenuicaulis
Coprosma tenuifolia
Coprosma ternata
Coprosma virescens
Coprosma waima
Coprosma waimeae
Coprosma wallii
Coprosma x
Coptosapelta diffusa
Coptosapelta flavescens
Coptosapelta montana
Coptosapelta tomentosa
Coptosperma borbonicum
Coptosperma graveolens
Coptosperma madagascariense
Coptosperma neurophyllum
Coptosperma nigrescens
Coptosperma rhodesiacum
Coptosperma supra-axillare
Coptosperma zygoon
Cordylogyne globosa
Cordylostigma cuspidata
Cordylostigma longifolia
Cordylostigma microcala
Cordylostigma obtusiloba
Cordylostigma virgata
Corynanthe mayumbensis
Corynanthe pachyceras
Corynanthe paniculata
Cosmibuena grandiflora
Cosmibuena valerioi
Cosmocalyx spectabilis
Cosmostigma racemosum
Couma guianensis
Couma macrocarpa
Coussarea brevicaulis
Coussarea caroliana
Coussarea contracta
Coussarea curvigemmia
Coussarea hirticalyx
Coussarea hydrangeifolia
Coussarea ilheotica
Coussarea macrophylla
Coutaportla ghiesbreghtiana
Coutaportla guatemalensis
Coutarea andrei
Coutarea hexandra
Coutoubea minor
Coutoubea ramosa
Coutoubea spicata
Craspidospermum verticillatum
Craterispermum aristatum
Craterispermum brachynematum
Craterispermum caudatum
Craterispermum laurinum
Craterispermum schweinfurthii
Crawfurdia angustata
Crawfurdia campanulacea
Crawfurdia delavayi
Crawfurdia gracilipes
Crawfurdia maculaticaulis
Crawfurdia poilanei
Crawfurdia pricei
Crawfurdia sessiliflora
Crawfurdia speciosa
Crawfurdia tibetica
Cremaspora triflora
Cremocarpon boivinianum
Cremocarpon lantzii
Crioceras dipladeniiflorum
Crossopteryx febrifuga
Crucianella angustifolia
Crucianella chlorostachys
Crucianella filifolia
Crucianella maritima
Crucianella sintenisii
Cruciata articulata
Cruciata glabra
Cruciata laevipes
Cruciata pedemontana
Cruciata taurica
Cruckshanksia hymenodon
Crusea calocephala
Crusea hispida
Crusea megalocarpa
Cryptolepis buchananii
Cryptolepis capensis
Cryptolepis delagoensis
Cryptolepis hypoglauca
Cryptolepis oblongifolia
Cryptolepis obtusa
Cryptolepis sinensis
Cryptostegia grandiflora
Cryptostegia madagascariensis
Csapodya challengeri
Cuatrecasasiodendron spectabile
Cubanola daphnoides
Cubanola domingensis
Curroria decidua
Curtia tenuifolia
Curtia verticillaris
Cuviera acutiflora
Cuviera angolensis
Cuviera longiflora
Cuviera physinodes
Cuviera schliebenii
Cuviera semseii
Cuviera subuliflora
Cuviera trilocularis
Cycladenia humilis
Cyclophyllum balansae
Cyclophyllum barbatum
Cyclophyllum deplanchei
Cyclophyllum longiflorum
Cyclophyllum merrillianum
Cynanchum abyssinicum
Cynanchum acidum
Cynanchum acutum
Cynanchum adalinae
Cynanchum africanum
Cynanchum altiscandens
Cynanchum ampanihense
Cynanchum angavokeliense
Cynanchum appendiculatopsis
Cynanchum arenarium
Cynanchum auriculatum
Cynanchum beckii
Cynanchum bifidum
Cynanchum blandum
Cynanchum boudieri
Cynanchum bungei
Cynanchum callialatum
Cynanchum caudatum
Cynanchum chinense
Cynanchum chouxii
Cynanchum comorense
Cynanchum compactum
Cynanchum crassiantherae
Cynanchum crassipedicellatum
Cynanchum cucullatum
Cynanchum danguyanum
Cynanchum descoingsii
Cynanchum ecuadorense
Cynanchum ellipticum
Cynanchum erythranthum
Cynanchum falcatum
Cynanchum floribundum
Cynanchum foetidum
Cynanchum folotsioides
Cynanchum formosum
Cynanchum funale
Cynanchum gerrardii
Cynanchum grandidieri
Cynanchum hardyi
Cynanchum hastifolium
Cynanchum implicatum
Cynanchum insigne
Cynanchum itremense
Cynanchum jacquemontianum
Cynanchum juliani-marnieri
Cynanchum laeve
Cynanchum lechleri
Cynanchum leucanthum
Cynanchum ligulatum
Cynanchum lineare
Cynanchum longipes
Cynanchum longirostrum
Cynanchum macranthum
Cynanchum madagascariense
Cynanchum mahafalense
Cynanchum mariense
Cynanchum marnieranum
Cynanchum messeri
Cynanchum mevei
Cynanchum meyeri
Cynanchum microphyllum
Cynanchum montevidense
Cynanchum moramangense
Cynanchum morrenioides
Cynanchum natalitium
Cynanchum obovatum
Cynanchum obtusifolium
Cynanchum orangeanum
Cynanchum otophyllum
Cynanchum ovalifolium
Cynanchum pachycladon
Cynanchum papillatum
Cynanchum perrieri
Cynanchum phillipsonianum
Cynanchum polyanthum
Cynanchum praecox
Cynanchum pycnoneuroides
Cynanchum racemosum
Cynanchum radiatum
Cynanchum rauhianum
Cynanchum repandum
Cynanchum rossii
Cynanchum roulinioides
Cynanchum rubricoronae
Cynanchum rungweense
Cynanchum savannarum
Cynanchum schistoglossum
Cynanchum sessiliflorum
Cynanchum sigridiae
Cynanchum stoloniferum
Cynanchum streptanthum
Cynanchum tarmense
Cynanchum thesioides
Cynanchum toliari
Cynanchum trifurcatum
Cynanchum tunicatum
Cynanchum verrucosum
Cynanchum viminale
Cynanchum wilfordii
Cynanchum wurdackii
Dactylostelma boliviense
